name,manufacturer,approval_status,generic_name,brand_price,generic_price
PERCODAN,ENDO PHARMS,Approved,ASPIRIN; OXYCODONE HYDROCHLORIDE,0,0
BANTHINE,SHIRE,Approved,METHANTHELINE BROMIDE,0,0
SECONAL SODIUM,LILLY,Approved,SECOBARBITAL SODIUM,0,0
BENTYL,FOREST LABS INC,Approved,DICYCLOMINE HYDROCHLORIDE,0,0
PROTAMINE SULFATE,PHARMACIA AND UPJOHN,Approved,PROTAMINE SULFATE,0,0
ACTHAR,SANOFI AVENTIS US,Approved,CORTICOTROPIN,0,0
LEVOPHED,HOSPIRA,Approved,NOREPINEPHRINE BITARTRATE,0,0
TAPAZOLE,KING PHARMS,Approved,METHIMAZOLE,0,0
QUINIDINE GLUCONATE,LILLY,Approved,QUINIDINE GLUCONATE,0,0
SURITAL,PARKEDALE,Approved,THIAMYLAL SODIUM,0,0
CHLOR-TRIMETON,BAYER HEALTHCARE LLC,Approved,CHLORPHENIRAMINE MALEATE,0,0
PHENURONE,ABBVIE,Approved,PHENACEMIDE,0,0
NEOTHYLLINE,TEVA,Approved,DYPHYLLINE,0,0
FLAXEDIL,DAVIS AND GECK,Approved,GALLAMINE TRIETHIODIDE,0,0
POTASSIUM CHLORIDE,LILLY,Approved,POTASSIUM CHLORIDE,0,0
ANTABUSE,TEVA WOMENS,Approved,DISULFIRAM,0,0
BENEMID,MERCK,Approved,PROBENECID,0,0
PHENERGAN,DELCOR ASSET CORP,Approved,PROMETHAZINE HYDROCHLORIDE,0,0
SELSUN,CHATTEM,Approved,SELENIUM SULFIDE,0,0
SUS-PHRINE SULFITE FREE,FOREST LABS,Approved,EPINEPHRINE,0,0
PREFRIN-A,ALLERGAN,Approved,PHENYLEPHRINE HYDROCHLORIDE; PYRILAMINE MALEATE,0,0
TENSILON,TELIGENT PHARMA INC,Approved,EDROPHONIUM CHLORIDE,0,0
TENSILON PRESERVATIVE FREE,TELIGENT PHARMA INC,Approved,EDROPHONIUM CHLORIDE,0,0
BENTYL,APTALIS PHARMA US,Approved,DICYCLOMINE HYDROCHLORIDE,0,0
AMBODRYL,PARKE DAVIS,Approved,BROMODIPHENHYDRAMINE HYDROCHLORIDE,0,0
TELEPAQUE,GE HEALTHCARE,Approved,IOPANOIC ACID,0,0
EVANS BLUE,PARKE DAVIS,Approved,EVANS BLUE,0,0
XYLOCAINE,ASTRAZENECA,Approved,LIDOCAINE,0,0
METHOTREXATE SODIUM,DAVA PHARMS INC,Approved,METHOTREXATE SODIUM,0,0
TACE,SANOFI AVENTIS US,Approved,CHLOROTRIANISENE,0,0
LEUCOVORIN CALCIUM,HOSPIRA,Approved,LEUCOVORIN CALCIUM,0,0
PRANTAL,SCHERING,Approved,DIPHEMANIL METHYLSULFATE,0,0
CORTISONE ACETATE,PHARMACIA AND UPJOHN,Approved,CORTISONE ACETATE,0,0
BENOQUIN,VALEANT PHARM INTL,Approved,MONOBENZONE,0,0
HYDROCORTONE,MERCK,Approved,HYDROCORTISONE ACETATE,0,0
WYAMINE SULFATE,BAXTER HLTHCARE CORP,Approved,MEPHENTERMINE SULFATE,0,0
REGITINE,NOVARTIS,Approved,PHENTOLAMINE MESYLATE,0,0
CORTISONE ACETATE,PANRAY,Approved,CORTISONE ACETATE,0,0
APRESOLINE,NOVARTIS,Approved,HYDRALAZINE HYDROCHLORIDE,0,0
PHENERGAN W/ CODEINE,ANI PHARMS,Approved,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,0,0
PHENERGAN VC W/ CODEINE,ANI PHARMS,Approved,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,0,0
PRIMAQUINE,SANOFI AVENTIS US,Approved,PRIMAQUINE PHOSPHATE,0,0
ACTH,PARKEDALE,Approved,CORTICOTROPIN,0,0
BUTAZOLIDIN,NOVARTIS,Approved,PHENYLBUTAZONE,0,0
GEMONIL,ABBVIE,Approved,METHARBITAL,0,0
BENTYL PRESERVATIVE FREE,FOREST LABS INC,Approved,DICYCLOMINE HYDROCHLORIDE,0,0
H.P. ACTHAR GEL,MALLINCKRODT ARD,Approved,CORTICOTROPIN,0,0
TPN,INTL MINERALS,Approved,NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; TYROSINE,0,0
PROMETHAZINE HYDROCHLORIDE PLAIN,ANI PHARMS,Approved,PROMETHAZINE HYDROCHLORIDE,0,0
NYDRAZID,BRISTOL MYERS SQUIBB,Approved,ISONIAZID,0,0
RIMIFON,ROCHE,Approved,ISONIAZID,0,0
ISONIAZID,PANRAY,Approved,ISONIAZID,0,0
ANECTINE,SANDOZ,Approved,SUCCINYLCHOLINE CHLORIDE,0,0
CYCLAINE,MERCK,Approved,HEXYLCAINE HYDROCHLORIDE,0,0
ANTRENYL,NOVARTIS,Approved,OXYPHENONIUM BROMIDE,0,0
ISONIAZID,LILLY,Approved,ISONIAZID,0,0
HYDROCORTONE,MERCK,Approved,HYDROCORTISONE,0,0
THIOSULFIL,WYETH AYERST,Approved,SULFAMETHIZOLE,0,0
DARAPRIM,TURING PHARMS AG,Approved,PYRIMETHAMINE,0,0
RAVOCAINE AND NOVOCAIN W/ LEVOPHED,EASTMAN KODAK,Approved,NOREPINEPHRINE BITARTRATE; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE,0,0
RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN,EASTMAN KODAK,Approved,LEVONORDEFRIN; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE,0,0
PHENERGAN VC,ANI PHARMS,Approved,PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,0,0
NYDRAZID,SANDOZ,Approved,ISONIAZID,0,0
ISONIAZID,SANDOZ,Approved,ISONIAZID,0,0
THYTROPAR,SANOFI AVENTIS US,Approved,THYROTROPIN,0,0
FURADANTIN,PROCTER AND GAMBLE,Approved,NITROFURANTOIN,0,0
CORTEF,PHARMACIA AND UPJOHN,Approved,HYDROCORTISONE,0,0
DIBENZYLINE,CONCORDIA PHARMS INC,Approved,PHENOXYBENZAMINE HYDROCHLORIDE,0,0
LEVO-DROMORAN,VALEANT PHARM INTL,Approved,LEVORPHANOL TARTRATE,0,0
PRO-BANTHINE,SHIRE,Approved,PROPANTHELINE BROMIDE,0,0
DILANTIN-125,PARKE DAVIS,Approved,PHENYTOIN,0,0
DILANTIN-30,PARKE DAVIS,Approved,PHENYTOIN,0,0
HEDULIN,SANOFI AVENTIS US,Approved,PHENINDIONE,0,0
CHLOR-TRIMETON,SCHERING PLOUGH,Approved,CHLORPHENIRAMINE MALEATE,0,0
M.V.I.-12,HOSPIRA,Approved,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E,0,0
M.V.I.-12,HOSPIRA,Approved,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E,0,0
M.V.I.-12 (WITHOUT VITAMIN K),HOSPIRA,Approved,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E,0,0
UNITENSEN,MEDPOINTE PHARM HLC,Approved,CRYPTENAMINE ACETATES,0,0
XYLOCAINE,OAK PHARMS,Approved,LIDOCAINE HYDROCHLORIDE,0,0
PERCORTEN,NOVARTIS,Approved,DESOXYCORTICOSTERONE PIVALATE,0,0
RAUDIXIN,APOTHECON,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
PRO-BANTHINE,GD SEARLE LLC,Approved,PROPANTHELINE BROMIDE,0,0
QUELICIN PRESERVATIVE FREE,HOSPIRA,Approved,SUCCINYLCHOLINE CHLORIDE,0,0
QUELICIN,HOSPIRA,Approved,SUCCINYLCHOLINE CHLORIDE,0,0
SUCOSTRIN,APOTHECON,Approved,SUCCINYLCHOLINE CHLORIDE,0,0
PAMINE,FOUGERA PHARMS,Approved,METHSCOPOLAMINE BROMIDE,0,0
PAMINE FORTE,FOUGERA PHARMS,Approved,METHSCOPOLAMINE BROMIDE,0,0
MILONTIN,PARKE DAVIS,Approved,PHENSUXIMIDE,0,0
PHENERGAN,WYETH AYERST,Approved,PROMETHAZINE HYDROCHLORIDE,0,0
RAUWILOID,3M,Approved,ALSEROXYLON,0,0
DICURIN PROCAINE,LILLY,Approved,PROCAINE MERETHOXYLLINE; THEOPHYLLINE,0,0
OPHTHAINE,APOTHECON,Approved,PROPARACAINE HYDROCHLORIDE,0,0
CLISTIN,ORTHO MCNEIL PHARM,Approved,CARBINOXAMINE MALEATE,0,0
CORTEF ACETATE,PHARMACIA AND UPJOHN,Approved,HYDROCORTISONE ACETATE,0,0
CALCIUM DISODIUM VERSENATE,MEDICIS,Approved,EDETATE CALCIUM DISODIUM,0,0
DIAMOX,TEVA BRANDED PHARM,Approved,ACETAZOLAMIDE,0,0
PAGITANE,LILLY,Approved,CYCRIMINE HYDROCHLORIDE,0,0
CLISTIN,MCNEIL,Approved,CARBINOXAMINE MALEATE,0,0
PURIFIED CORTROPHIN GEL,ANI PHARMS,Approved,CORTICOTROPIN,0,0
ARFONAD,ROCHE,Approved,TRIMETHAPHAN CAMSYLATE,0,0
SALPIX,ORTHO MCNEIL PHARM,Approved,ACETRIZOATE SODIUM,0,0
8-MOP,VALEANT PHARM INTL,Approved,METHOXSALEN,0,0
OXSORALEN,VALEANT PHARM INTL,Approved,METHOXSALEN,0,0
REZIPAS,BRISTOL MYERS SQUIBB,Approved,AMINOSALICYLIC ACID RESIN COMPLEX,0,0
PURINETHOL,STASON PHARMS,Approved,MERCAPTOPURINE,0,0
PARSIDOL,PARKE DAVIS,Approved,ETHOPROPAZINE HYDROCHLORIDE,0,0
HYDERGINE,NOVARTIS,Approved,ERGOLOID MESYLATES,0,0
ANTEPAR,GLAXOSMITHKLINE,Approved,PIPERAZINE CITRATE,0,0
RAUVAL,PAL PAK,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
SERPASIL,NOVARTIS,Approved,RESERPINE,0,0
CORTRIL,PFIZER,Approved,HYDROCORTISONE,0,0
THORAZINE,GLAXOSMITHKLINE,Approved,CHLORPROMAZINE HYDROCHLORIDE,0,0
THORAZINE,GLAXOSMITHKLINE,Approved,CHLORPROMAZINE,0,0
CORTRIL,PFIZER,Approved,HYDROCORTISONE ACETATE,0,0
DELATESTRYL,ENDO PHARMS,Approved,TESTOSTERONE ENANTHATE,0,0
HYDROXYSTILBAMIDINE ISETHIONATE,SANOFI AVENTIS US,Approved,HYDROXYSTILBAMIDINE ISETHIONATE,0,0
MYSOLINE,VALEANT,Approved,PRIMIDONE,0,0
FURADANTIN,CASPER PHARMA LLC,Approved,NITROFURANTOIN,0,0
CORTRIL,PFIZER GLOBAL,Approved,HYDROCORTISONE,0,0
GANTRISIN,ROCHE,Approved,SULFISOXAZOLE ACETYL,0,0
GANTRISIN PEDIATRIC,ROCHE,Approved,SULFISOXAZOLE ACETYL,0,0
LIPO GANTRISIN,ROCHE,Approved,SULFISOXAZOLE ACETYL,0,0
LIPIODOL,GUERBET,Approved,ETHIODIZED OIL,0,0
COGENTIN,MERCK,Approved,BENZTROPINE MESYLATE,0,0
RAUTENSIN,NOVARTIS,Approved,ALSEROXYLON,0,0
UNITENSEN,MEDPOINTE PHARM HLC,Approved,CRYPTENAMINE TANNATES,0,0
COUMADIN,BRISTOL MYERS SQUIBB,Approved,WARFARIN SODIUM,0,0
PROGESTERONE,LILLY,Approved,PROGESTERONE,0,0
WOLFINA,FOREST PHARMS,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
CHOLEDYL,PARKE DAVIS,Approved,OXTRIPHYLLINE,0,0
RAUWOLFIA SERPENTINA,IMPAX LABS,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
HIWOLFIA,BOWMAN PHARMS,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
KOGLUCOID,PANRAY,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
CEDILANID-D,NOVARTIS,Approved,DESLANOSIDE,0,0
SERPASIL-APRESOLINE,NOVARTIS,Approved,HYDRALAZINE HYDROCHLORIDE; RESERPINE,0,0
DIONOSIL AQUEOUS,GLAXOSMITHKLINE,Approved,PROPYLIODONE,0,0
DIONOSIL OILY,GLAXOSMITHKLINE,Approved,PROPYLIODONE,0,0
AMBENYL,FOREST LABS,Approved,BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE,0,0
CHOLOGRAFIN SODIUM,BRACCO,Approved,IODIPAMIDE SODIUM,0,0
CHOLOGRAFIN MEGLUMINE,BRACCO,Approved,IODIPAMIDE MEGLUMINE,0,0
LANOXIN,COVIS PHARMA SARL,Approved,DIGOXIN,0,0
LANOXIN PEDIATRIC,COVIS PHARMA SARL,Approved,DIGOXIN,0,0
HISTALOG,LILLY,Approved,BETAZOLE HYDROCHLORIDE,0,0
RAU-SED,BRISTOL MYERS SQUIBB,Approved,RESERPINE,0,0
ANSOLYSEN,WYETH AYERST,Approved,PENTOLINIUM TARTRATE,0,0
SANDRIL,LILLY,Approved,RESERPINE,0,0
MYLERAN,ASPEN GLOBAL,Approved,BUSULFAN,0,0
DIAMOX,TEVA WOMENS,Approved,ACETAZOLAMIDE SODIUM,0,0
SERPANRAY,PANRAY,Approved,RESERPINE,0,0
